Monthly service charge,$\$ 370.81$
Charges for delivering electric to you:,
Annual Demand,"228,100 kW $\times \$ 4.943183$"
The highest Measured Demand in any time period in the current month.,"\$1,127.54"
Summer Demand <br> The Measured Demand (excluding off-peak) in each billing month of June through September.,"228,100 kW $\times \$ 9.149671$"
kWh - On-peak,"42,531 kWh $\times \$ 0.008613$"
"Energy consumed between 8am-10pm, Monday to Friday.",
kWh - Off-peak,"48,855 kWh $\times \$ 0.008613$"
Energy consumed outside peak hours.,
Societal Benefits,"91,386 kWh $\times \$ 0.010413$"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,"$\$ 5,324.10$"
Supply charges,
BGS Capacity,
Generation,"239,095 kW $\times \$ 1.740898$"
Transmission,"213,069 kW $\times \$ 13.293581$"
Cost of electric supplied by PSE\&G:,
On-peak,
For the first,"12,675 kWh $\times \$ 0.081651$"
For the next,"29,856 kWh $\times \$ 0.072966$"
Off-peak,
For the first,"14,387 kWh $\times \$ 0.064605$"
For the next,"34,468 kWh $\times \$ 0.055920$"
Total electric supply charges,"$\$ 9,319.01$"
