Fixed Price Transactions,275.00 kWh,,\$. 05000000,,
Market Charges,1.00,,\$ . 00000000,\$0.00,
Total Supplier Charge,,,,,\$13.75
Taxes,Service From,04/27/2020,to,05/27/2020,
Clean Energy Assistance Charge,275.00 kWh,,\$ . 00179000,\$0.49,
Renewable Energy Adjustment,275.00 kWh,,\$ . 00181000,\$0.50,
EDT Cost Recovery,275.00 kWh,,\$ . 00121680,\$0.33,
Electric Environmental Adjustment,275.00 kWh,,\$ . 00298560,\$0.82,
Energy Efficiency Programs Charge,275.00 kWh,,\$ . 00239000,\$0.66,
Illinois State Electricity Excise Tax,,,,\$0.91,
Total Tax Related Charges,,,,,\$3.71
