,Generation \& Transmission Charges for Oct 20-Nov 18 State Sales Tax,55.35
,Gross Receipts Tax,54.44
,ENERGY CHARGE: 7620@.008B PER KWH,67.13
,ENERGY CHARGE: 7620@-.0087 PER KWH,$-65.97$
,ENERGY CHARGE: 7620@.0007 PER KWH,5.22
,ENERGY CHARGE: 556@.0167 PER KWH,9.28
,ENERGY CHARGE: 437@.063 PER KWH,27.54
,ENERGY CHARGE: 7620@.0708 PER KWH,539.87
,ENERGY CHARGE: 8057@.0001 PER KWH,0.96
,ENERGY CHARGE: 7620@.0031 PER KWH,23.87
,ENERGY CHARGE: 8057@.0006 PER KWH,4.67
,CAPACITY CHARGE,106.06
,TRANSMISSION CHARGE,149.61
,Total Freepoint Energy Solutions LLC Charges,\$978.03
