,CHARGE DESCRIPTION,,,,
Gas Delivery,Customer Charge,,,,
Ameren Illinois,Distribution Delivery Charge,10.00,Therms,@,\$ 0.23786000
GDS-3 Intermediate Gas,Qualifying Infrastructure Plant Surchg,\$323.87,,@,8.320000\%
Delivery Space Heat,Invested Capital Tax Adjustment,\$323.87,,@,0.530000\%
,,,,Gas Delivery,\$358.51
Gas Supply <br> Ameren Illinois,Purchased Gas Adjustment Charge,10.00,Therms,@,\$ 0.82319200
,,,,Gas Supply,\$8.24
State and Local Taxes and Other Mandated Charges,Energy Efficiency Programs Charge,10.00,Therms,@,\$ 0.01413000
,Gas Environmental Adjustment,10.00,Therms,@,\$ 0.01861490
,Illinois State Gas Revenue Tax,,,,
,Illinois State Commerce Commission Tax,,,,
,Galesburg Municipal Gross Revenue,,,,
,,Total Taxes and Other Charges,,,\$18.55
