,Generation \& Transmission Charges for Oct 22-Nov 22,
,State Sales Tax,12.10
,Gross Receipts Tax,11.88
,ENERGY CHARGE: 1709@.0088 PER KWH,15.06
,ENERGY CHARGE: 1709@. 0122 PER KWH,$-20.86$
,ENERGY CHARGE: 1709@.0007 PER KWH,1.14
,ENERGY CHARGE: 119@.0168 PER KWH,1.99
,ENERGY CHARGE: 96@.0639 PER KWH,6.16
,ENERGY CHARGE: 1709@.0751 PER KWH,128.29
,ENERGY CHARGE: 1805@.0001 PER KWH,0.21
,ENERGY CHARGE: 1709@.0031 PER KWH,5.37
,ENERGY CHARGE: 1805@.0006 PER KWH,1.05
,CAPACITY CHARGE,19.37
,TRANSMISSION CHARGE,31.97
,Total Freepoint Energy Solutions LLC Charges,\$213.73
