Account Name,Service Address,City,State,Zip,Utility,Utility Account \#,Rate Class \#
"Pangea Ventures, LLC",753 E 79TH ST BSMT,CHICAGO,IL,60619,Peoples,0608299543-00022,Choice
"Pangea Ventures, LLC",1249 S FAIRFIELD AVE BLDG,CHICAGO,IL,60608,Peoples,0610877223-02986,Choice
"Pangea Ventures, LLC",720 E 82ND ST BSMT,CHICAGO,IL,60619,Peoples,0610877223-02859,Choice
"Pangea Ventures, LLC",7109 S RIDGELAND AVE BLDG,CHICAGO,IL,60649,Peoples,0608299543-00018,Choice
"Pangea Ventures, LLC",5019 W JACISON BLVD BLDG,CHICAGO,IL,60644,Peoples,0610877223-02716,Choice
"Pangea Ventures, LLC",13260 S INDIANA AVE BLDG,CHICAGO,IL,60827,Peoples,0610877223-02917,Choice
"Pangea Ventures, LLC",5036 W QUINCY ST BLDG,CHICAGO,IL,60644,Peoples,0609142657-00775,Choice
"Pangea Ventures, LLC",10849 S PRAIRIE AVE BSMT,CHICAGO,IL,60617,Peoples,0610877223-02936,Choice
"Pangea Ventures, LLC",5100 W MADISON AVE BLDG,CHICAGO,IL,60644,Peoples,0609142657-00008,Choice
"Pangea Ventures, LLC",8253 S INGLISIDE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02962,Choice
"Pangea Ventures, LLC",5101 W MONROE BLDG,CHICAGO,IL,60644,Peoples,0610877223-02977,Choice
"Pangea Ventures, LLC",7911 S EVANS AVE BLDG,CHICAGO,IL,60619,Peoples,0608299543-00017,Choice
"Pangea Ventures, LLC",5047 S CHAMPLAIN AVE BLDG,CHICAGO,IL,60615,Peoples,0610877223-01106,Choice
"Pangea Ventures, LLC",7930 S INGLISIDE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02957,Choice
"Pangea Ventures, LLC",4818 W MONROE BLDG,CHICAGO,IL,60644,Peoples,0609142657-00040,Choice
"Pangea Ventures, LLC",552 E 51ST ST BLDG,CHICAGO,IL,60615,Peoples,0610877223-02173,Choice
"Pangea Ventures, LLC",5870 W LAKE BLDG,CHICAGO,IL,60644,Peoples,0610877223-01785,Choice
"Pangea Ventures, LLC",8001 S ELLIS AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02950,Choice
"Pangea Ventures, LLC",1632 W 77TH ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-00855,Choice
"Pangea Ventures, LLC",7801 S YATES BSMT,CHICAGO,IL,60649,Peoples,0610877223-02972,Choice
"Pangea Ventures, LLC",8014 S MARYLAND AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02988,Choice
"Pangea Ventures, LLC",8751 S COTTAGE GROVE AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-00649,Choice
"Pangea Ventures, LLC",4653 W JACISON BLDG,CHICAGO,IL,60644,Peoples,0609142657-00050,Choice
"Pangea Ventures, LLC",1515 W 81ST BLDG,CHICAGO,IL,60615,Peoples,0610877223-01052,Choice
"Pangea Ventures, LLC",211 E 71ST ST STR,CHICAGO,IL,60619,Peoples,0610877223-02641,Choice
"Pangea Ventures, LLC",600 S PRAIRIE AVE BLDG,CHICAGO,IL,60637,Peoples,0903318331-00001,Choice
"Pangea Ventures, LLC",1108 E 82ND ST BLDG,CHICAGO,IL,60619,Peoples,0610877223-02560,Choice
"Pangea Ventures, LLC",423 N CENTRAL AVE BLDG,CHICAGO,IL,60644,Peoples,0610877223-01454,Choice
"Pangea Ventures, LLC",8954 S COMMERCIAL AVE BLDG,CHICAGO,IL,60617,Peoples,0610877223-00810,Choice
"Pangea Ventures, LLC",6832 S CRANDON AVE BLDG,CHICAGO,IL,60617,Peoples,0610877223-00439,Choice
"Pangea Ventures, LLC",3075 E CHELTENHAM PL BLDG,CHICAGO,IL,60649,Peoples,0610877223-02170,Choice
"Pangea Ventures, LLC",7417 S PHILLIPS AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02638,Choice
