Account Name,Service Address,City,State,Zip,Utility,Utility Account \#,Rate Class \#
"Pangea Ventures, LLC",320 N MASON AVE BLDG,CHICAGO,IL,60644,Peoples,0610877223-01705,Choice
"Pangea Ventures, LLC",704 N WALLER AVE BLDG,CHICAGO,IL,60644,Peoples,0610877223-02284,Choice
"Pangea Ventures, LLC",8308 S INGESIDE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02975,Choice
"Pangea Ventures, LLC",7400 S RHODES AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02979,Choice
"Pangea Ventures, LLC",3501 W ADAMS ST BLDG,CHICAGO,IL,60624,Peoples,0610877223-02847,Choice
"Pangea Ventures, LLC",2207 E. 75THSTREET BLDG BD AT 2207,CHICAGO,IL,60649,Peoples,0610877223-04528,Choice
"Pangea Ventures, LLC",2435 W 63RD BLDG,CHICAGO,IL,60629,Peoples,0610877223-02766,Choice
"Pangea Ventures, LLC",1860 S KOMENSKY AVE BLDG,CHICAGO,IL,60623,Peoples,0600691934-00004,Choice
"Pangea Ventures, LLC",7955 S DOBSON BSMT,CHICAGO,IL,60619,Peoples,0600667672-00002,Choice
"Pangea Ventures, LLC",119 S LOTUSAVE BLDG,CHICAGO,IL,60644,Peoples,0610877223-02966,Choice
"Pangea Ventures, LLC",546 E 51ST ST BLDG,CHICAGO,IL,60615,Peoples,0610877223-01111,Choice
"Pangea Ventures, LLC",2047 E 75THST BLDG,CHICAGO,IL,60649,Peoples,0600079352-00004,Choice
"Pangea Ventures, LLC",52 N LARAME AVE BLDG,CHICAGO,IL,60644,Peoples,0609142657-00668,Choice
"Pangea Ventures, LLC",7240 S YATES BLDG,CHICAGO,IL,60649,Peoples,0610877223-02734,Choice
"Pangea Ventures, LLC",6104 S CAMPBELL BLDG,CHICAGO,IL,60629,Peoples,0608299543-00037,Choice
"Pangea Ventures, LLC",5018 W JACKSON BLVD BLDG,CHICAGO,IL,60644,Peoples,0610877223-02707,Choice
"Pangea Ventures, LLC",714 E 82ND ST BSMT,CHICAGO,IL,60619,Peoples,0610178902-00001,Choice
"Pangea Ventures, LLC",4820 S MICHIGAN BLDG,CHICAGO,IL,60615,Peoples,0610877223-00515,Choice
"Pangea Ventures, LLC",6456 S FAIRFIELD AVE BLDG,CHICAGO,IL,60629,Peoples,0610877223-02574,Choice
"Pangea Ventures, LLC",6240 WESTERN AVE BLDG,CHICAGO,IL,60636,Peoples,0610877223-02967,Choice
"Pangea Ventures, LLC",7916 S KINGSTON AVE FL 2 EAST,CHICAGO,IL,60617,Peoples,0610877223-02535,Choice
"Pangea Ventures, LLC",7956 S ABERDEEN ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-00459,Choice
"Pangea Ventures, LLC",903 E 82ND ST BLDG,CHICAGO,IL,60619,Peoples,0601520426-00008,Choice
"Pangea Ventures, LLC",7120 S EASTIND BLDG,CHICAGO,IL,60649,Peoples,0608299543-00027,Choice
"Pangea Ventures, LLC",1717 W 77THST BLDG,CHICAGO,IL,60620,Peoples,0600667672-00023,Choice
"Pangea Ventures, LLC",2507 W 61STST BLDG,CHICAGO,IL,60629,Peoples,0600079352-00001,Choice
"Pangea Ventures, LLC",7624 S KINGSTON AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02589,Choice
"Pangea Ventures, LLC",5027 S SAINT LAWRENCE AVE BLDG,CHICAGO,IL,60615,Peoples,0610877223-01110,Choice
"Pangea Ventures, LLC",638 E 50TH PL BLDG,CHICAGO,IL,60615,Peoples,0610877223-02231,Choice
"Pangea Ventures, LLC",722 S RACINE AVE BLDG,CHICAGO,IL,60607,Peoples,0610877223-02627,Choice
"Pangea Ventures, LLC",410 E 107TH STREET BLDG,CHICAGO,IL,60628,Peoples,0610877223-02349,Choice
"Pangea Ventures, LLC",7031 S CHAPPEL AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02624,Choice
