Atty Geni consultant exp adj,16935.00kWh X $\$ 0.00002$,$\$ 0.34$
Storm recovery adjustment,16935.00kWh X $\$ 0.00218$,$\$ 36.92$
Exogenous Cost Adjustment,16935.00kWh X $\$ 0.00070$,$\$ 11.85$
Revenue Decoupling Adj,16935.00kWh X $\$ 0.00212$,$\$ 35.90$
Lng-Trm Rnwbl Contr Adj,16935.00kWh X $\$$-0.00306$,$-\$ 51.82$
Vegetation Management,16935.00kWh X $\$ 0.00089$,$\$ 15.07$
Solar Expansion Charge,16935.00kWh X $\$-0.00027$,$-\$ 4.57$
Grid Modernization Charge,16935.00kWh X $\$ 0.00130$,$\$ 22.02$
Tax Act Credit,16935.00kWh X $\$-0.00113$,$-\$ 19.14$
Distributed Solar Charge,16935.00kWh X $\$ 0.00327$,$\$ 55.38$
Advanced Meter Infrastructure,16935.00kWh X $\$ 0.00222$,$\$ 37.60$
Subtotal Delivery Services,,"$\$ 1,343.37$"
Total Cost of Electricity,,"$\$ 3,146.95$"
