Usage Summary,,,,
Total kWh Peak kW,,40200.0000 Non-Summer kWh,,40200.0000
,,73.8000,,
Electric Delivery,CHARGE DESCRIPTION,,,40200.0000
Ameren Illinois,Customer Charge,,,
OS-2 Small General Delivery,Distribution Delivery Charge Non-Summer,"2,000.00 kWh",@ \$ 0.02176000,\$ 0.02176000
Service,Distribution Delivery Charge Non-Summer,"38,200.00 kWh",@ \$ 0.01116000,\$ 0.01116000
,Electric Environmental Adjustment,"40,200.00 kWh",@ \$ 0.00138290,\$55.59
,Energy Efficiency Demand Response,"40,200.00 kWh",@ \$ 0.00441000,\$177.28
,,,Electric Delivery,\$746.11
Electric Supply,SUPPLIER ENERGY CHARGES,"40,200.00 kWh",@ \$ 0.05199000,"\$2,090.00"
AEP Energy,,,,
,,,Electric Supply,"\$2,090.00"
Taxes and Other Fees,Illinois State Electricity Excise Tax,,,\$128.46
,EOT Cost Recovery,,,\$50.50
,,,Total Tax Related Fees,\$178.96
,,,Total Electric Charges,"\$3,015.07"
(4) Details From Your Electric Supplier,,,,
AEP Energy,,,,
www.AEPenergy.com,,,,
666.258 .3762,,,,
Refer to supply contract for details.,,,,
"For more information about your electric supply choices, visit www.phuginillinois.org.",,,,
