,Meter Number,Usage,Amount
Service For: 4950 CHERRY AVE BLDG 1,,,
Service Agreement ID: 2072595041 Bldg 11 Apt 1,,,
PG\&E Electric Delivery Charges,1006954109,193.769400 kWh,$\$ 51.42$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2073286944,,,
SAN JOSE CLEAN ENERGY Electric Generation,,193.769400 kWh,\$28.01
Total,,,\$24.09
Service For: 4950 CHERRY AVE BLDG 3,,,
"Service Agreement ID: 2074678025 HSE MTR BOILER \#1,3,4",,,
PG\&E Gas Delivery Charges,4482334X,427.000000 Therm,\$924.17
Service Agreement ID: 2075622178,,,
COMMERCIAL ENERGY Gas Procurement Charges,,427.000000 Therm,\$348.83
Total,,,"\$1,273.00"
Service For: 4950 CHERRY AVE BLDG 4,,,
Service Agreement ID: 2078145870 Bldg 11 Apt 4,,,
PG\&E Electric Delivery Charges,1010269487,113.855500 kWh,$\$ 30.18$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2075994921,,,
SAN JOSE CLEAN ENERGY Electric Generation,,113.855500 kWh,\$16.36
Total,,,- $\$ 8.80$
Service For: 4950 CHERRY AVE BLDG 5,,,
Service Agreement ID: 2079478911 Bldg 11 Apt 5,,,
PG\&E Electric Delivery Charges,1010272776,116.744100 kWh,$\$ 30.93$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2078467220,,,
SAN JOSE CLEAN ENERGY Electric Generation,,116.744100 kWh,\$16.77
Total,,,- $\$ 7.64$
Service For: 4950 CHERRY AVE BLDG 6,,,
Service Agreement ID: 2074257132 Bldg 11 Apt 6,,,
PG\&E Electric Delivery Charges,1006952519,509.056500 kWh,\$159.22
Electric Adjustments,,,$-55.34$
Service Agreement ID: 2071608319,,,
SAN JOSE CLEAN ENERGY Electric Generation,,509.056500 kWh,\$76.13
Total,,,\$180.01
Service For: 4950 CHERRY AVE BLDG 7,,,
"Service Agreement ID: 2074678055 HSE MTR BOILER \#6,7,8",,,
PG\&E Gas Delivery Charges,61499700,525.000000 Therm,"\$1,136.29"
