Peak,67.283800 kWh,@ \$0.59342,\$39.93
Off Peak,192.330600 kWh,@ \$0.49042,94.32
147.000000 kWh,@ - $\$ 0.09837$,-14.46,
,,-42.07,
,,2.49,
,,0.28,
,,4.01,
,,0.24,
10/01/2024 - 10/14/2024,,,
Baseline Allowance,135.80 kWh,(14 days $\times 9.7 \mathrm{kWh} /$ day),
Energy Charges,,,
Peak,83.055100 kWh,@ \$0.49378,\$41.01
Off Peak,166.387000 kWh,@ \$0.46378,77.17
135.800000 kWh,@ - $\$ 0.10117$,-13.74,
Generation Credit,,-36.34,
Power Charge Indifference Adjustment,,2.39,
Franchise Fee Surcharge,,0.26,
San Jose Utility Users' Tax (5.000\%),,3.52,
San Jose Franchise Surcharge,,0.21,
