,Meter Number,Usage,Amount
Service For: 4300 THE WOODS DR BLDG 7,,,
Service Agreement ID: 8370264433,,,
PG\&E Electric Delivery Charges,1009924368,9.000000 kWh,$\$ 368.51$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8375316788,,,
SAN JOSE CLEAN ENERGY Electric Generation,,9.000000 kWh,\$0.14
Total,,,\$313.31
Service For: 4300 THE WOODS DR BLDG 2,,,
Service Agreement ID: 8371343973,,,
PG\&E Electric Delivery Charges,1009115747,152.000000 kWh,$\$ 37.05$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8376986600,,,
SAN JOSE CLEAN ENERGY Electric Generation,,152.000000 kWh,$\$ 0.00$
Total,,,- $\$ 18.29$
Service For: 4300 THE WOODS DR BLDG 4,,,
Service Agreement ID: 8372197613,,,
PG\&E Electric Delivery Charges,1009115572,177.000000 kWh,$\$ 31.78$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8376024760,,,
SAN JOSE CLEAN ENERGY Electric Generation,,177.000000 kWh,$\$ 0.00$
Total,,,- $\$ 23.56$
Service For: 4300 THE WOODS DR BLDG 7,,,
Service Agreement ID: 8378865638,,,
PG\&E Electric Delivery Charges,1010284865,804.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8376516830,,,
SAN JOSE CLEAN ENERGY Electric Generation,,804.000000 kWh,$\$ 115.95$
Total,,,$\$ 71.33$
Service For: 4300 THE WOODS DR BLDG 14,,,
Service Agreement ID: 8378076127,,,
PG\&E Electric Delivery Charges,1009115025,182.000000 kWh,$\$ 42.31$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 8371340156,,,
SAN JOSE CLEAN ENERGY Electric Generation,,182.000000 kWh,$\$ 0.00$
Total,,,- $\$ 13.03$
