Svc Addr: 200 COLLEGE AWV BLOG DNKN DNTS SOUTHWICK MA 01077,,,,,
Serv Ref: 102723000,,,Bill Cycle: 02,,
Service from 03/02/23 - 03/31/23,,,29 Days,,
"Next read date on or about: May 02, 2023",,,,,
Meter <br> Number,Current <br> Read,Previous <br> Read,Current <br> Usage,Reading <br> Type,
034263842,52432,42166,10266,Actual,
Total Demand Use $=26.00 \mathrm{~kW}$,,,,,
Monthly kWh Use,,,,,
Apr,May,Jun,Jul,Aug,Sep
8766,11076,12649,14886,14852,13928
Nov,Dec,Jan,Feb,Mar,Apr
11539,11286,9413,8973,9232,10266
