Atty GenI consultant exp adj,10266.00kWh X $\$ 0.00002$,$\$ 0.21$
Storm recovery adjustment,10266.00kWh X $\$ 0.00218$,$\$ 22.38$
Exogenous Cost Adjustment,10266.00kWh X $\$ 0.00070$,$\$ 7.19$
Revenue Decoupling Adj,10266.00kWh X $\$ 0.00212$,$\$ 21.76$
Lng-Trm Rnwbl Contr Adj,10266.00kWh X $\$$-0.00306$,$-\$ 31.41$
Vegetation Management,10266.00kWh X $\$ 0.00089$,$\$ 9.14$
Solar Expansion Charge,10266.00kWh X $\$-0.00027$,$-\$ 2.77$
Grid Modernization Charge,10266.00kWh X $\$ 0.00130$,$\$ 13.35$
Tax Act Credit,10266.00kWh X $\$-0.00113$,$-\$ 11.60$
Distributed Solar Charge,10266.00kWh X $\$ 0.00327$,$\$ 33.57$
Advanced Meter Infrastructure,10266.00kWh X $\$ 0.00222$,$\$ 22.79$
Subtotal Delivery Services,,$\$ 890.27$
Total Cost of Electricity,,"$\$ 1,983.60$"
