CUSTOMER DISCLOSURE STATEMENT,
Price,[Fixed Price of $\$ 0.06834 / \mathrm{kWh}$ ]
Bill Type,Consolidated Bill
How Price is Determined,"The Fixed Price includes the components as described in the table below. The Fixed Price does not include any applicable taxes (other than the gross-receipts tax, if applicable), which shall be passed-through to the customer. Components listed as ""pass through"" in the table below shall be billed using market-based prices or estimates thereof."
COMPONENT,Treatment
Energy,Fixed
Unforced Capacity,Fixed
Ancillary Services,Fixed
"Transmission (NITS, TECs)",N/A
Clean Energy - Mandatory RECs (Certified RECs),Fixed
Auction Revenue Rights Credits,Fixed
Renewable Energy - voluntary,Not Selected
