Seller:,"Symmetry Energy Solutions, LLC",Buyer:,"OU Medicine, Inc."
Address:,"9811 Katy Fwy, Ste 1400",Address:,"1100 Charlotte Ave, Ste 1100"
City/State: <br> Attention: <br> Phone:,"Houston, TX 77024-1296 <br> Joshua Brant <br> (918) 938-7103",City/State:,"Nashville, TN 37203"
Fax: <br> Email:,(713) 393-0263 <br> Confirms@SymmetryEnergy.com,,
Base Contract No:,ES-1088-A,,
Contract Price:,"Buyer's price will be IF Oneok, Okla. plus \$0.8267/MMBtu.",,
,"If on any day Buyer takes less volume than the Volume Commitment, Buyer shall be credited for the unused volumes at a per unit price equal to GDD Oneok, okla. (the Incremental Under Price)",,
,"If on any day Buyer takes more volume than the Volume Commitment, Buyer shall be charged for the additional volumes at a per unit price equal to GDD Oneok, okla. plus \$0.8267/MMBtu (the Incremental Over Price)",,
Delivery Period:,Begin: 10/01/2022,End: 09/30/2023,
Performance Obligation:,"Firm. ""Firm"" means the utilization of a firm service agreement with a Transporter under which the transaction's Delivery Point is not a specified primary point for the delivery of Gas.",,
,"All of Buyer's natural gas requirements will be delivered by Seller under this Transaction Confirmation. Buyer shall provide to Seller seven business days prior to the start of the delivery month the daily or monthly volumes to be nominated. For any month Buyer does not provide the nomination volume, Seller shall use the Volume Commitment.",,
,The Volume Commitment for a month will be allocated equally to each day thereof based on the number of days in such month.,,
"Contract <br> Quantity/Volume Commitment (""Volume Commitment"")",Month,Volume (MMBtu),
,Oct-2022,"2,434",
,Nov-2022,"2,715",
,Dec-2022,"3,038",
,Jan-2023,"3,285",
,Feb-2023,"3,158",
,Mar-2023,"2,774",
,Apr-2023,"2,513",
,May-2023,"2,242",
,Jun-2023,"1,902",
,Jul-2023,"1,836",
,Aug-2023,"1,781",
,Sep-2023,"1,875",
