Section 1.2 <br> Transaction <br> Procedure,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,Oral (default) <br> Written,Section 10.2 <br> Additional <br> Events of Default,园 No Additional Events of Default (default) <br> Indebtedness Cross Default
Section 2.7 <br> Confirm Deadline,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,2 Business Days after receipt (default) <br> Business Days after receipt,,$\square$ Party A: $\qquad$ <br> $\square$ Party B: $\qquad$ <br> Transactional Cross Default <br> Specified Transactions:
Section 2.8 <br> Confirming Party,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,Seller (default) <br> Buyer,,$\qquad$
Section 3.2 <br> Performance <br> Obligation,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,Cover Standard (default) Spot Price Standard,Section 10.3.1 <br> Early <br> Termination <br> Damages,Early Termination Damages Apply (default) <br> OR <br> $\square$ Early Termination Damages Do Not Apply
Note: The following Spot Price Publication applies to both of the immediately preceding.,,,Section 10.3.2 <br> Other <br> Agreement <br> Setoffs,园 Other Agreement Setoffs Apply (default) <br> $\square$ Bilateral (default) <br> $\square$ Triangular
Section 2.31 <br> Spot Price <br> Publication,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,Gas Daily Midpoint (default),,
Section 6 <br> Taxes,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,Buyer Pays At and After Delivery Point (default) <br> Seller Pays Before and At Delivery Point,,$\square$ Other Agreement Setoffs Do Not Apply
Section 7.2 <br> Payment Date,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,25 Day of Month following Month of delivery (default) Day of Month following Month of delivery,Section 15.5 <br> Choice Of Law,Tennessee
Section 7.2 <br> Method of Payment,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,Wire transfer (default) <br> Automated Clearinghouse Credit (ACH) Check,Section 15.10 <br> Confidentiality,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$ Confidentiality applies (default) <br> $\square$ Confidentiality does not apply
Section 7.7 <br> Netting,$\begin{aligned} & \text { 园 } \\ & \text { OR } \\ & \square \end{aligned}$,Netting applies (default) <br> Netting does not apply,,
Special Provisions Number of sheets attached: 6 <br> $\square$ Addendum(s):,,,,
