Details of Gas Charges,
11/02/2022 - 12/02/2022 (31 billing days),
Service For: 1540 SOUTHWEST EXPY,
Service Agreement ID: 1454215842,
Rate Schedule: GM XW Master-Metered Multi-Family Service,
Number of Dwelling Units: 112,
11/02/2022 - 11/30/2022,
Tier 1 Allowance,"1,396.64000 Therm"
Tier 1 Usage,"1,396.640000 Therm 82.30071"
Tier 2 Usage,541.682581 Therm 82.76870
Gas PPP Surcharge (\$0.10346 /Therm),
San Jose Utility Users' Tax (5.000\%),
San Jose Franchise Surcharge,
12/01/2022 - 12/02/2022,
Tier 1 Allowance,96.32000 Therm
Tier 1 Usage,96.320000 Therm 82.34123
Tier 2 Usage,37.357419 Therm 82.80922
Gas PPP Surcharge (\$0.10346 /Therm),
San Jose Utility Users' Tax (5.000\%),
San Jose Franchise Surcharge,
,"$\$ 5,525.15$"
