Service Agreement ID: 5390917045,Meter Number,Usage,Amount
SAN JOSE CLEAN ENERGY Electric Generation,,156.000000 kWh,\$23.06
Total,,,-$19.49
Service For: 4100 THE WOODS DR BLDG 5-6,,,
Service Agreement ID: 5391393385,,,
PG&E Electric Delivery Charges,1009097602,353.000000 kWh,$65.44
Electric Adjustments,,,-55.34
Service Agreement ID: 5392237148,,,
SAN JOSE CLEAN ENERGY Electric Generation,,353.000000 kWh,$50.68
Service Agreement ID: 5398488930,,,
PG&E Gas Delivery Charges,41446152,408.000000 Therm,$883.13
Service Agreement ID: 5394555447,,,
COMMERCIAL ENERGY Gas Procurement Charges,,408.000000 Therm,$335.01
Total,,,"$1,278.92"
Service For: 4100 THE WOODS DR BLDG 5,,,
Service Agreement ID: 5399396415,,,
PG&E Electric Delivery Charges,1009179714,17.000000 kWh,$12.79
Electric Adjustments,,,-55.34
Service Agreement ID: 5393189239,,,
SAN JOSE CLEAN ENERGY Electric Generation,,17.000000 kWh,$0.00
Total,,,-$42.55
Service For: 4100 THE WOODS DR BLDG 4,,,
Service Agreement ID: 5393133753,,,
PG&E Electric Delivery Charges,1009115308,35.000000 kWh,$12.79
Electric Adjustments,,,-55.34
Service Agreement ID: 5399482939,,,
SAN JOSE CLEAN ENERGY Electric Generation,,35.000000 kWh,$0.00
Total,,,-$42.55
Service For: 4100 THE WOODS DR BLDG 3-4,,,
Service Agreement ID: 5396180349,,,
PG&E Electric Delivery Charges,1009097603,807.000000 kWh,$12.79
Electric Adjustments,,,-55.34
Service Agreement ID: 5397471340,,,
SAN JOSE CLEAN ENERGY Electric Generation,,807.000000 kWh,$120.20
Service Agreement ID: 5392490819,,,
PG&E Gas Delivery Charges,62392512,580.000000 Therm,"$1,255.43"
