Tier 1 Allowance,223.60000,,
Tier 1 Usage,187.096774,,
Gas Mobile Home Park Surcharge \$0.00000,,,0.00
Gas Procurement Credit ${ }^{1}$,,,$-82.76$
Franchise Fee Surcharge,,,0.07
Gas PPP Surcharge (\$0.11051 /Therm),,,20.67
San Jose Utility Users' Tax (5.000\%),,,18.24
San Jose Franchise Surcharge,,,1.09
10/01/2024 - 10/21/2024,,,
Tier 1 Allowance,469.56000,,
Tier 1 Usage,392.903226,,
Gas Mobile Home Park Surcharge \$0.00000,,,0.00
Gas Procurement Credit ${ }^{1}$,,,$-139.10$
Franchise Fee Surcharge,,,0.36
Gas PPP Surcharge (\$0.11051 /Therm),,,43.42
San Jose Utility Users' Tax (5.000\%),,,38.31
San Jose Franchise Surcharge,,,2.30
Total PG\&E Gas Delivery Charges,,"\$1,255.43",
