,Meter Number,Usage,Amount
Service For: 4100 THE WOODS DR,,,
Service Agreement ID: 5396940620,,,
PG\&E Electric Delivery Charges,1009178974,17.000000 kWh,$\$ 12.79$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5392465270,,,
SAN JOSE CLEAN ENERGY Electric Generation,,17.000000 kWh,\$0.00
Service Agreement ID: 5391310939,,,
PG\&E Gas Delivery Charges,27543131,336.000000 Therm,\$727.29
Service Agreement ID: 5397906777,,,
COMMERCIAL ENERGY Gas Procurement Charges,,336.000000 Therm,\$275.89
Total,,,\$960.63
Service For: 4100 THE WOODS DR BLDG 1,,,
Service Agreement ID: 5395817741,,,
PG\&E Electric Delivery Charges,1009114557,64.000000 kWh,$\$ 12.79$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5394292165,,,
SAN JOSE CLEAN ENERGY Electric Generation,,64.000000 kWh,\$9.62
Total,,,-\$32.93
Service For: 4100 THE WOODS DR BLDG 9,,,
Service Agreement ID: 5398623326,,,
PG\&E Electric Delivery Charges,1009114511,20.000000 kWh,$\$ 12.79$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5392496178,,,
SAN JOSE CLEAN ENERGY Electric Generation,,20.000000 kWh,\$0.00
Total,,,-\$42.55
Service For: 4100 THE WOODS DR BLDG 9,,,
Service Agreement ID: 5390026576,,,
PG\&E Electric Delivery Charges,1009114507,119.000000 kWh,$\$ 12.79$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5394045302,,,
SAN JOSE CLEAN ENERGY Electric Generation,,119.000000 kWh,\$0.00
Total,,,-\$42.55
Service For: 4100 THE WOODS DR BLDG 9,,,
Service Agreement ID: 5391692949,,,
PG\&E Electric Delivery Charges,1009114508,50.000000 kWh,\$33.85
Electric Adjustments,,,$-55.34$
