Charges for Gen Serv Gas-Small Htg CHOICE - Rate 221,
NIPSCO,
Delivery Charges,$\$ 277.59$
Indiana Sales Tax,$\$ 19.43$
Total Charges for Gas Service This Period,$+\$ 297.02$
Charges for Fixed Price Per Therm - Rate 23300,
IGS Energy,$\$ 559.09$
Gas Supply,$\$ 96.95$
Interstate Transportation and Storage Charges,$\$ 45.85$
Indiana Sales Tax,$\$ 700.89$
Total Charges for Service This Period,$+\$ 270.89$
- IGS Energy is proud to be your chosen supplier for natural gas. You may contact,
IGS Energy at 1-800-280-4474 or go to is,
