Details of Gas Charges,
11/03/2022 - 12/05/2022 (33 billing days),
Service For: 660 KING ST,
Service Agreement ID: 9430023979,
Rate Schedule: GM TW Master-Metered Multi-Family Service,
Number of Dwelling Units: 143,
11/03/2022 - 11/30/2022,
Tier 1 Allowance,"1,721.72000 Therm"
Tier 1 Usage,"1,520.484848 Therm"
Gas PPP Surcharge (\$0.10346 /Therm),
SF Prop C Tax Surcharge,34.49
12/01/2022 - 12/05/2022,
Tier 1 Allowance,307.45000 Therm
Tier 1 Usage,271.515152 Therm
Gas PPP Surcharge (\$0.10346 /Therm),
SF Prop C Tax Surcharge,28.09
,6.27
